id;busineess_name;phone_number;email
debb3fb0-9cd3-4fa4-b59d-120aa9c7d8b3;Music;Delaware Borders transmitting;Cortez97@yahoo.com
d40083ca-5c96-4ccf-bc2e-79956876e166;Nevada;back-end;Ines.Keebler54@gmail.com
643f72ed-1435-49cd-8fe6-dc141dcbf7c1;complexity;Wyoming;Kayli.Pagac@yahoo.com
ad6d4483-f724-4cb4-ac7c-208ed5c66bc9;Danish UIC-Franc Account;Dynamic optimal;Karolann52@hotmail.com
6e146452-0138-421a-a7ce-23fe754cea4a;circuit Tools;Rubber optical;Georgette_Ritchie75@hotmail.com
33f9a513-8fcf-4286-b0cf-daefbef88299;parsing Small;solution;Alvina_Littel@hotmail.com
3dc9f45f-e476-4191-8758-63ab0b66ad52;Shirt lavender;Light synergies sensor;Bertha64@gmail.com
d603b164-6e77-43c1-aa72-16dc75cab65f;Music portals Louisiana;bluetooth;Colleen_Schinner@gmail.com
dee4b232-1799-4134-ba6c-4f092572e286;South Rubber;Virginia Open-architected deposit;Bonnie58@gmail.com
0271c210-e53b-429b-b030-29a02203d206;generating Exclusive eyeballs;cross-media;Max.Russel@yahoo.com
