id;busineess_name;invoice_counter;phone_number;email
6b08cc62-b177-464f-b3af-40586e25e8f5;protocol solid;85517;Avon virtual compressing;Barton55@gmail.com
f219c3db-db49-453a-a9b8-be4c3558d8bf;Principal generation enhance;19122;Accountability Shoes;Tianna11@hotmail.com
1fbac16e-5ae3-452a-ba90-a9f1736b4a31;users;40094;Bridge;Kaci_Wolff@gmail.com
096cfb5b-e2a8-4bcd-823b-31615cd45557;Shoes Personal;21913;Licensed;Grace44@hotmail.com
31d2872a-1b3f-4c40-b526-dd1dca4dcd9b;incubate Central Small;37980;Car Table transmitter;Okey_Haag19@hotmail.com
233aae35-1bf7-42b5-9dd0-25d34a0b5d90;mobile success Knoll;29367;Analyst;Amelia.Grady19@yahoo.com
ceaa2c1b-801a-40d1-92ac-e5c77a682b6d;navigating Drive real-time;29752;Granite;Lucienne29@yahoo.com
f02175ca-2e08-4f5a-af8c-50da4395acde;Product invoice;27215;Future synergize withdrawal;Asia.Torp74@yahoo.com
c0643f01-3107-4540-aacc-08cb8ab9bb15;Product;86744;capacitor back-end;Orrin_Lynch@hotmail.com
9d8509fd-d839-4106-9cd5-31be7cd93f1f;Borders Cotton deposit;25233;Borders;Billy11@yahoo.com
